"year","location","n","longitude","latitude"
1871,"Winter Harbor",8,-68.09811741,44.39116851
1872,"Bass Harbor",3,-68.34644791,44.23879938
1872,"Buckle Island",4,-68.47641,44.17953
1872,"Cranberry Isles",7,-68.27013482,44.2585131
1872,"Deer Isle",3,-68.67589735,44.21412573
1872,"Egg Rock",1,-68.138067,44.354544
1872,"Ellsworth",8,-68.42420475,44.54105229
1872,"Hancock",7,-68.2534335,44.52816854
1872,"Jordan River",1,-68.3430556,44.4441667
1872,"Lamoine",10,-68.319185,44.4911
1872,"Northeast Harbor",5,NA,NA
1872,"Portland",2,-70.310425,43.680031
1872,"Prospect Harbor",2,-68.02456023,44.41062098
1872,"Rockland",9,-69.10869077,44.1041007
1872,"Seal Cove",1,-68.406194103026,44.31389393933
1872,"Skillings River",6,-68.30612654,44.52761858
1872,"Southwest Harbor",2,-68.324276961999,44.2792004289633
1872,"Turtle Island",2,-70.03422,44.43423
1872,"West Gouldsboro",14,-68.09937127,44.46922347
1872,"Winter Harbor",246,-68.09811741,44.39116851
1873,"Baker Island",1,-68.1924325636,44.2382157138
1873,"Bangor",4,-68.795013,44.808147
1873,"Bar Harbor",9,-68.212219,44.387699
1873,"Bass Harbor",8,-68.34644791,44.23879938
1873,"Boston",2,-71.057083,42.361145
1873,"Bucks Ledge",1,-70.666659,44.404799
1873,"Bucksport",3,-68.79559,44.57369
1873,"Calais",3,-67.282753,45.188042
1873,"Camden",1,-69.058833098,44.20583251
1873,"Cranberry Isles",14,-68.27013482,44.2585131
1873,"Deer Isle",9,-68.67589735,44.21412573
1873,"Duck Islands",2,-68.248752,44.165195
1873,"Ellsworth",6,-68.42420475,44.54105229
1873,"Fox Islands",4,-68.8639267338772,44.1465638197881
1873,"Fox Islands",4,-69.7919898,43.7306406
1873,"Gloucester",2,-70.66199,42.61593
1873,"Hancock",2,-68.2534335,44.52816854
1873,"Hog Island",4,-69.42166498,43.9666628
1873,"Iron Bound",10,-68.133407,44.39197
1873,"Jones Cove",2,-68.097701,44.467053
1873,"Jordan River",15,-68.3430556,44.4441667
1873,"Lamoine",2,-68.319185,44.4911
1873,"Mark Island",1,-68.088018,44.362014
1873,"Northeast Harbor",6,NA,NA
1873,"Perry",2,-67.072166378,44.97166278
1873,"Portland",9,-70.310425,43.680031
1873,"Portsmouth",6,-70.762245,43.071568
1873,"Prospect Harbor",6,-68.02456023,44.41062098
1873,"Rockland",19,-69.10869077,44.1041007
1873,"Sandy Point",2,-68.806784,44.5064338
1873,"Schoodic Peninsula",1,-68.068335,44.335923
1873,"Southwest Harbor",3,-68.324276961999,44.2792004289633
1873,"Stave Island",13,-70.0875475,43.7159161
1873,"Tenants Harbor",4,-69.207157,43.968093
1873,"Turtle Island",1,-70.03422,44.43423
1873,"West Gouldsboro",11,-68.09937127,44.46922347
1873,"West Quoddy",1,-66.950649,44.815133
1873,"Winter Harbor",280,-68.09811741,44.39116851
1873,"Winterport",3,-68.848802,44.625993
1874,"Baker Island",2,-68.1924325636,44.2382157138
1874,"Bangor",1,-68.795013,44.808147
1874,"Bar Harbor",1,-68.212219,44.387699
1874,"Bass Harbor",12,-68.34644791,44.23879938
1874,"Boon Island",2,-70.47166478,43.11916619
1874,"Boothbay",1,-69.633497466,43.87249651
1874,"Boothbay Harbor",3,-69.631851,43.851948
1874,"Boston",16,-71.057083,42.361145
1874,"Buckle Island",5,-68.47641,44.17953
1874,"Calais",10,-67.282753,45.188042
1874,"Campobello Island",3,-66.919472,44.890015
1874,"Cape Elizabeth",2,-70.20005,43.563698
1874,"Channel Rock",1,-68.8136409,44.2134129
1874,"Charlestown Neck",1,-71.07697,42.384031
1874,"Cranberry Isles",6,-68.27013482,44.2585131
1874,"Crow Island",1,-68.106123297633,44.3810536387025
1874,"Deer Isle",2,-68.67589735,44.21412573
1874,"Egg Rock",2,-68.138067,44.354544
1874,"Ellsworth",4,-68.42420475,44.54105229
1874,"Fox Islands",12,-68.8639267338772,44.1465638197881
1874,"Fox Islands",12,-69.7919898,43.7306406
1874,"Franklin",2,-68.225999096,44.585497658
1874,"Gloucester",2,-70.66199,42.61593
1874,"Iron Bound",2,-68.133407,44.39197
1874,"Isles of Shoals",2,-70.606830906,42.975496098
1874,"Little River",2,-67.2021180472245,44.6526698980649
1874,"Long Island",1,-73.3,40.8
1874,"Northeast Harbor",3,NA,NA
1874,"Perry",2,-67.072166378,44.97166278
1874,"Portland",3,-70.310425,43.680031
1874,"Portsmouth",5,-70.762245,43.071568
1874,"Richmond Island",2,-70.234722,43.543889
1874,"Rockland",18,-69.10869077,44.1041007
1874,"Schoodic Peninsula",4,-68.068335,44.335923
1874,"Seal Harbor",2,-68.239299,44.302693
1874,"Southwest Harbor",1,-68.324276961999,44.2792004289633
1874,"Stave Island",5,-70.0875475,43.7159161
1874,"Tenants Harbor",2,-69.207157,43.968093
1874,"Thacher Island",5,-70.576309,42.637592
1874,"The Graves",1,-69.03517,48.1822
1874,"West Gouldsboro",5,-68.09937127,44.46922347
1874,"West Quoddy",6,-66.950649,44.815133
1874,"Whitehead Island",1,-69.1294875,43.9800823
1874,"Winter Harbor",235,-68.09811741,44.39116851
1874,"Wood Island",1,-70.3332596098111,43.4579679566059
1874,"York Narrows",1,-74.054822,40.627788
1875,"Bass Harbor",3,-68.34644791,44.23879938
1875,"Bear Island",2,-68.2678155954,44.2836821986
1875,"Beavertail Lighthouse",2,-71.3993,41.4493
1875,"Block Island",1,-71.584267,41.161655
1875,"Boston",8,-71.057083,42.361145
1875,"Brooklyn",8,-73.949997,40.650002
1875,"Calais",20,-67.282753,45.188042
1875,"Cranberry Isles",1,-68.27013482,44.2585131
1875,"Deer Isle",1,-68.67589735,44.21412573
1875,"Egg Rock",1,-68.138067,44.354544
1875,"Ellsworth",3,-68.42420475,44.54105229
1875,"Execution Rocks Light",2,-73.737861,40.878139
1875,"Falkner Island",2,-72.65319,41.21088
1875,"Franklin",1,-68.225999096,44.585497658
1875,"Highland Light",1,-70.0621,42.03926
1875,"Little River",4,-67.2021180472245,44.6526698980649
1875,"Long Island",1,-73.3,40.8
1875,"Matinicus Rock",5,-68.855033,43.783473
1875,"Perry",2,-67.072166378,44.97166278
1875,"Point Judith",2,-71.48139,41.3615
1875,"Prospect Harbor",1,-68.02456023,44.41062098
1875,"Sandy Point",1,-68.806784,44.5064338
1875,"Southwest Harbor",1,-68.324276961999,44.2792004289633
1875,"Stratford Shoal Light",1,-73.102912,41.151911
1875,"Thacher Island",2,-70.576309,42.637592
1875,"Turtle Island",1,-70.03422,44.43423
1875,"West Quoddy",3,-66.950649,44.815133
1875,"Winter Harbor",210,-68.09811741,44.39116851
1876,"Bar Harbor",1,-68.212219,44.387699
1876,"Baracoa",22,-74.49675,20.34659
1876,"Boothbay Harbor",1,-69.631851,43.851948
1876,"Canary Islands",1,-16.629129,28.291565
1876,"Cape Haitien",3,-72.199669,19.75622
1876,"Corsica Island",3,9.149022,42.30941
1876,"Cranberry Isles",1,-68.27013482,44.2585131
1876,"Crooked Island Passage",1,-74.583,22.917
1876,"Ellsworth",11,-68.42420475,44.54105229
1876,"Fire Island",1,-73.145947,40.6476
1876,"Haiti",1,-72.333336,18.533333
1876,"Highland Light",2,-70.0621,42.03926
1876,"Leghorn",43,10.3080108,43.551876
1876,"Northeast Harbor",1,NA,NA
1876,"Rock of Gibraltar",1,-5.346256,36.142558
1876,"Rockland",2,-69.10869077,44.1041007
1876,"Sandy Hook",1,-73.9952,40.4529
1876,"Santo Domingo",1,-69.929611,18.483402
1876,"Somes Sound",1,-68.30499878,44.31916539
1876,"Southwest Harbor",2,-68.324276961999,44.2792004289633
1876,"Turks Island Passage",1,-71.316667,21.416667
1876,"Turks and Caicos Islands",1,-72.305832,21.804132
1876,"Turtle Island",3,-70.03422,44.43423
1876,"West Gouldsboro",2,-68.09937127,44.46922347
1876,"Winter Harbor",137,-68.09811741,44.39116851
1877,"Bar Harbor",4,-68.212219,44.387699
1877,"Bass Harbor",3,-68.34644791,44.23879938
1877,"Boston",1,-71.057083,42.361145
1877,"Cherryfield",1,-67.926,44.607
1877,"Cranberry Isles",8,-68.27013482,44.2585131
1877,"Crow Island",1,-68.106123297633,44.3810536387025
1877,"Deer Isle",2,-68.67589735,44.21412573
1877,"Ellsworth",13,-68.42420475,44.54105229
1877,"Fox Islands",3,-68.8639267338772,44.1465638197881
1877,"Fox Islands",3,-69.7919898,43.7306406
1877,"Franklin",1,-68.225999096,44.585497658
1877,"Iron Bound",3,-68.133407,44.39197
1877,"Jordan Island",1,-68.1274198,44.4149593
1877,"Mark Island",2,-68.088018,44.362014
1877,"Matinicus Rock",1,-68.855033,43.783473
1877,"Newcastle",3,-69.535331192,44.034333196
1877,"Pemaquid Point",1,-69.5097685,43.840639
1877,"Portland",2,-70.310425,43.680031
1877,"Prospect Harbor",2,-68.02456023,44.41062098
1877,"Rockland",4,-69.10869077,44.1041007
1877,"Stave Island",4,-70.0875475,43.7159161
1877,"Thacher Island",1,-70.576309,42.637592
1877,"West Gouldsboro",3,-68.09937127,44.46922347
1877,"Winter Harbor",85,-68.09811741,44.39116851
1879,"Bar Harbor",12,-68.212219,44.387699
1879,"Birch Harbor",5,-68.0398754,44.3893677
1879,"Cherryfield",1,-67.926,44.607
1879,"Cranberry Isles",1,-68.27013482,44.2585131
1879,"Ellsworth",8,-68.42420475,44.54105229
1879,"Iron Bound",1,-68.133407,44.39197
1879,"Mark Island",1,-68.088018,44.362014
1879,"Prospect Harbor",9,-68.02456023,44.41062098
1879,"South Gouldsboro",14,-68.109596,44.42952
1879,"Southwest Harbor",1,-68.324276961999,44.2792004289633
1879,"Steuben",4,-67.961732,44.505209
1879,"Trenton",1,-68.37023,44.43928
1879,"Turtle Island",3,-70.03422,44.43423
1879,"West Gouldsboro",48,-68.09937127,44.46922347
1879,"Winter Harbor",257,-68.09811741,44.39116851
1880,"Birch Harbor",3,-68.0398754,44.3893677
1880,"Cherryfield",1,-67.926,44.607
1880,"Egg Rock",2,-68.138067,44.354544
1880,"Ellsworth",2,-68.42420475,44.54105229
1880,"Gouldsboro",1,-68.03461,44.485087
1880,"Iron Bound",1,-68.133407,44.39197
1880,"Mark Island",1,-68.088018,44.362014
1880,"Prospect Harbor",7,-68.02456023,44.41062098
1880,"South Gouldsboro",8,-68.109596,44.42952
1880,"Spectacle Island",1,-67.040814,44.920635
1880,"Stave Island",3,-70.0875475,43.7159161
1880,"Steuben",1,-67.961732,44.505209
1880,"West Gouldsboro",10,-68.09937127,44.46922347
1880,"Winter Harbor",295,-68.09811741,44.39116851
1881,"Bar Harbor",1,-68.212219,44.387699
1881,"Boon Island",1,-70.47166478,43.11916619
1881,"Boston Harbor",20,-70.97553,42.337638
1881,"Bunkers Harbor",1,-68.032890578085,44.3732689930884
1881,"Calais",2,-67.282753,45.188042
1881,"Cape Elizabeth",1,-70.20005,43.563698
1881,"Fox Islands",2,-68.8639267338772,44.1465638197881
1881,"Fox Islands",2,-69.7919898,43.7306406
1881,"Franklin",1,-68.225999096,44.585497658
1881,"Gloucester",9,-70.66199,42.61593
1881,"Isles of Shoals",1,-70.606830906,42.975496098
1881,"Little River",2,-67.2021180472245,44.6526698980649
1881,"Long Island",1,-73.3,40.8
1881,"Portland",1,-70.310425,43.680031
1881,"Portsmouth",2,-70.762245,43.071568
1881,"Prospect Harbor",1,-68.02456023,44.41062098
1881,"South Gouldsboro",3,-68.109596,44.42952
1881,"Spectacle Island",1,-67.040814,44.920635
1881,"Thacher Island",2,-70.576309,42.637592
1881,"West Gouldsboro",3,-68.09937127,44.46922347
1881,"Winter Harbor",161,-68.09811741,44.39116851
1881,"Wood Island",1,-70.3332596098111,43.4579679566059
1881,"York",1,-70.6440677808301,43.1621847847379
1882,"Baker Island",8,-68.1924325636,44.2382157138
1882,"Bass Harbor",5,-68.34644791,44.23879938
1882,"Boon Island",4,-70.47166478,43.11916619
1882,"Boothbay",4,-69.633497466,43.87249651
1882,"Boston",27,-71.057083,42.361145
1882,"Boston Harbor",1,-70.97553,42.337638
1882,"Brooklyn",3,-73.949997,40.650002
1882,"Calais",3,-67.282753,45.188042
1882,"Cape Elizabeth",3,-70.20005,43.563698
1882,"Channel Rock",1,-68.8136409,44.2134129
1882,"Cranberry Isles",1,-68.27013482,44.2585131
1882,"Damiscove Islands",1,-69.613228,43.762128
1882,"Deer Isle",3,-68.67589735,44.21412573
1882,"Execution Rocks Light",2,-73.737861,40.878139
1882,"Falkner Island",2,-72.65319,41.21088
1882,"Fox Islands",9,-68.8639267338772,44.1465638197881
1882,"Fox Islands",9,-69.7919898,43.7306406
1882,"Franklin",27,-68.225999096,44.585497658
1882,"Gloucester",2,-70.66199,42.61593
1882,"Highland Light",3,-70.0621,42.03926
1882,"Iron Bound",1,-68.133407,44.39197
1882,"Little River",3,-67.2021180472245,44.6526698980649
1882,"Long Island",6,-73.3,40.8
1882,"Mark Island",3,-68.088018,44.362014
1882,"Matinicus Rock",5,-68.855033,43.783473
1882,"Pemaquid Point",1,-69.5097685,43.840639
1882,"Perry",2,-67.072166378,44.97166278
1882,"Point Judith",2,-71.48139,41.3615
1882,"Portland",15,-70.310425,43.680031
1882,"Portsmouth",1,-70.762245,43.071568
1882,"Rockland",3,-69.10869077,44.1041007
1882,"Schoodic Peninsula",4,-68.068335,44.335923
1882,"Southwest Harbor",2,-68.324276961999,44.2792004289633
1882,"Stratford Shoal Light",1,-73.102912,41.151911
1882,"Thacher Island",12,-70.576309,42.637592
1882,"West Gouldsboro",2,-68.09937127,44.46922347
1882,"West Quoddy",3,-66.950649,44.815133
1882,"Whitehead Island",4,-69.1294875,43.9800823
1882,"Winter Harbor",123,-68.09811741,44.39116851
1882,"Wood Island",5,-70.3332596098111,43.4579679566059
1883,"Bar Harbor",7,-68.212219,44.387699
1883,"Block Island",2,-71.584267,41.161655
1883,"Boon Island",3,-70.47166478,43.11916619
1883,"Boston",7,-71.057083,42.361145
1883,"Egg Rock",2,-68.138067,44.354544
1883,"Ellsworth",1,-68.42420475,44.54105229
1883,"Falkner Island",1,-72.65319,41.21088
1883,"Franklin",2,-68.225999096,44.585497658
1883,"Gouldsboro",3,-68.03461,44.485087
1883,"Isles of Shoals",1,-70.606830906,42.975496098
1883,"Long Island",3,-73.3,40.8
1883,"Matinicus Rock",3,-68.855033,43.783473
1883,"Point Judith",6,-71.48139,41.3615
1883,"Portland",1,-70.310425,43.680031
1883,"Portsmouth",6,-70.762245,43.071568
1883,"Rockland",1,-69.10869077,44.1041007
1883,"Stave Island",1,-70.0875475,43.7159161
1883,"Winter Harbor",51,-68.09811741,44.39116851
1883,"Wood Island",2,-70.3332596098111,43.4579679566059
1884,"Bar Harbor",3,-68.212219,44.387699
1884,"Bass Harbor",6,-68.34644791,44.23879938
1884,"Block Island",8,-71.584267,41.161655
1884,"Boon Island",2,-70.47166478,43.11916619
1884,"Boothbay",1,-69.633497466,43.87249651
1884,"Boston",2,-71.057083,42.361145
1884,"Cape Elizabeth",2,-70.20005,43.563698
1884,"Cranberry Isles",2,-68.27013482,44.2585131
1884,"Deer Isle",4,-68.67589735,44.21412573
1884,"Egg Rock",2,-68.138067,44.354544
1884,"Ellsworth",3,-68.42420475,44.54105229
1884,"Falkner Island",1,-72.65319,41.21088
1884,"Franklin",10,-68.225999096,44.585497658
1884,"Hancock",1,-68.2534335,44.52816854
1884,"Iron Bound",1,-68.133407,44.39197
1884,"Isles of Shoals",1,-70.606830906,42.975496098
1884,"Long Island",1,-73.3,40.8
1884,"Mark Island",2,-68.088018,44.362014
1884,"Matinicus Rock",4,-68.855033,43.783473
1884,"Point Judith",4,-71.48139,41.3615
1884,"Portland",6,-70.310425,43.680031
1884,"Portsmouth",4,-70.762245,43.071568
1884,"Stave Island",4,-70.0875475,43.7159161
1884,"Turtle Island",3,-70.03422,44.43423
1884,"West Gouldsboro",7,-68.09937127,44.46922347
1884,"Winter Harbor",68,-68.09811741,44.39116851
1885,"Winter Harbor",61,-68.09811741,44.39116851
